['00641', '379', '379', '379', '379', '379', '374', 'O']
['02158', 'O', '101', '76', '41', '105', '89', '73']
['00671', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02159', 'O', '111', '143', '76', '50', '186', 'O']
['00682', '100', '100', '100', '100', '100', 'O', 'O']
['02161', '73', '89', 'O', 'O', '90', '194', '172']
['00817', '489', '567', '439', '405', '346', 'O', 'O']
['02162', '742', 'O', 'O', '778', '680', '646', '774']
['00828', 'O-LR', '698', '696', '647', '642', 'O', 'O']
['02163', '709', '697', '652', 'O', '775', '689', '670']
['00860', '109', 'O', '111', '109', '104', 'O', 'O']
['02165', '141', '141', '141', '141', '141', 'O', 'O']
['00900', '101', '99', '104', '49', '106', '94', 'O']
['02166', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['01085', '80', 'O', 'O', '51', '177', '99', '487']
['02167', '381', '669', '690', '787', 'Oz', 'Oz', '771']
['01916', '674', '650', 'O', '674', '674', '778', 'O']
['02168', '272', '272', '272', '272', '272', 'O', 'O']
['02100', '478', '674', '698', '791', 'O', '700', '644']
['02170', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02101', '407', '406', 'O', 'O', '340', '490', '340']
['02171', 'O', '41', '77', '73', 'O', '95', '170']
['02102', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02172', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02103', '644', '351', '689', '788', '647', '869', 'O']
['02173', '786', 'O', 'O', '644', '806', '776', '640']
['02109', '642', '692', '647', '785', 'O', '475', '692']
['02176', '485', 'O', 'O', '408', '505', '341', 'O']
['02110', '491', '347', '389', '439', '567', 'Oz', 'Oz']
['02178', '176', 'O', 'O', 'Oz', '139', '71', '186']
['02114', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O', '205']
['02182', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'O', 'O']
['02116', '348', 'O', 'O', '650', '698', '774', 'O']
['02183', 'O', '378', '345', '372', '381', '571', 'O']
['02117', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02186', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02118', '912', 'O', '913', '874', '913', '696', '869']
['02188', '682', '707', '711', 'Oz', '793', '698', '438']
['02119', '191', 'O', '139', '143', '52', 'O', 'O']
['02191', '171', '72', 'O-LR', '270', '72', '193', '98']
['02120', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02192', '689', 'O', '702', '739', '870', 'O', 'O']
['02121', '787', 'O', 'O', '694', '788', '672', '641']
['02193', '375', '393', '410', 'O', 'O', '376', '478']
['02122', '378', 'O', 'O', 'O', '572', '399', '647']
['02195', '102', '102', 'O-LR', '102', '102', 'O', 'O']
['02126', '383', '474', 'O', 'O', '350', '342', '572']
['02196', 'O-LR', '80', '81', '46', '42', '191', 'O']
['02130', '372', '372', '372', '572', '345', 'O', 'O']
['02197', '708', '870', 'O', '689', '643', '641', 'O']
['02132', '343', '376', '490', 'O', '472', '390', '435']
['02199', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02134', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02201', '874', '913', '912', 'O', 'O', '913', '874']
['02138', '408', '408', 'Oz', '407', '407', '485', '486']
['02202', '95', '78', '270', 'Oz', 'I-DK', 'O', 'O']
['02141', '344', '491', '371', '343', '405', '348', 'O']
['02203', 'O', '69', '173', '173', '110', '42', 'O']
['02143', '707', 'O', 'O', '770', '776', '732', '786']
['02204', '49', 'O', 'O', '77', '77', '189', 'O']
['02149', '650', '786', 'O', 'O', '649', '773', '790']
['02207', '194', '194', '194', '194', '194', 'O', 'O']
['02151', '390', 'O', 'O', '374', '382', '393', '491']
['02208', 'I-BO', 'I-BO', '102', '93', '41', '174', 'O']
['02154', '772', '772', '772', '772', '772', 'O', 'O']
['02210', '69', 'O', 'O', '43', '173', '69', '191']
['02155', '493', '382', '472', '344', '390', 'O', 'O']
['02211', '690', '689', '642', '682', '791', '693', 'Oz']
['02157', '377', '398', '382', 'O', 'O', '375', '398']
['02212', 'O', '110', '69', 'O', 'O', '75', '188']
['02213', 'I-GO', '375', '343', 'O', 'O', '493', '396']
['02354', '91', '49', '72', '75', 'O', 'O', '371']
['02215', 'O', '793', '697', '640', '787', '740', 'O']
['02363', '398', '340', '407', 'O', 'O', '492', '488']
['02217', 'Oz', 'Oz', '375', '378', '370', 'O', 'O']
['02367', '506', '506', '506', '506', '506', '506', 'O']
['02218', '79', '109', '43', '193', '111', 'O', 'O']
['02368', '739', '700', 'O', 'Oz', '679', '671', '770']
['02219', 'O', '106', '41', '48', '174', 'O', 'O']
['02371', '108', '107', '107', '107', '108', 'O', 'O']
['02221', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02380', 'O', '42', '91', '172', '187', 'O', 'O']
['02222', '98', '44', '175', 'O', '71', '45', 'O']
['02383', '106', '178', 'O', 'Oz', '176', '141', '138']
['02223', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02388', '806', 'O', 'O', '806', '805', '805', 'O']
['02224', '647', '739', '739', '646', '682', 'O', 'O']
['02389', '505', '505', '505', '505', 'O', '505', '505']
['02225', 'Oz', '407', '394', '347', 'O', '567', '392']
['02391', 'I-GO', 'I-GO', 'O', '409', '409', '389', 'O']
['02226', 'O', 'Oz', '707', '474', 'Oz', 'Oz', '736']
['02396', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02230', '793', '742', '646', '776', 'O', 'O', '690']
['02403', '392', '392', '392', 'Oz', 'Oz', '394', '390']
['02231', 'O', '702', '644', '671', 'O', 'O', '643']
['02405', '70', '171', 'O', 'O', '48', '73', '397']
['02232', '174', 'O', 'O', '176', '45', '70', '375']
['02406', '406', '404', 'O', 'O', '404', '400', '389']
['02233', '785', '794', '770', 'O', '697', '669', '787']
['02407', 'O', '206', '80', '95', '74', '173', 'O']
['02235', '477', 'O', 'O', '477', '477', '779', 'Oz']
['02411', 'O', '791', '788', '697', 'O', 'O', '648']
['02237', 'O', '370', '474', '471', '383', '441', '348']
['02414', '90', '90', '90', 'O', 'O', '92', '77']
['02241', '794', '708', '787', '912', '874', 'Oz', 'O']
['02426', 'O', '470', '369', '382', '470', 'O', 'O']
['02244', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02428', '139', '139', '44', 'Oz', 'O', '265', '136']
['02246', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02429', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02247', '40', '40', '92', '92', '101', 'O', 'O']
['02434', '205', 'O', '205', '205', '205', 'Oz', 'Oz']
['02248', '50', '265', '106', '52', 'O', '44', '44']
['02437', '45', 'O', 'O', '72', '70', '476', 'O']
['02249', '186', '186', '186', '186', '186', 'O', 'O']
['02441', '206', 'O', '206', '206', '206', '206', 'O']
['02250', '46', 'O', 'O', '47', '175', '90', '74']
['02449', '775', '775', '775', '775', 'O', 'Oz', '773']
['02252', '572', '345', '383', 'O', 'O', '488', '373']
['02450', '111', '205', '109', '265', '109', '205', 'O']
['02253', 'I-BO', 'I-BO', 'O', '40', '193', '41', '90']
['02455', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02322', '265', 'O', '40', '69', '89', 'O', 'O']
['02457', '47', '46', '46', '44', 'O', '40', '265']
['02325', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02458', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02326', '702', '787', '682', 'O', 'O', '694', '675']
['02462', '640', 'O', 'O', '669', '644', '692', '806']
['02328', '495', '342', '489', '392', '485', 'O', 'O']
['02466', 'I-GO', '391', '404', '411', 'O', '397', '506']
